"PARKHAM MELBURY MOOR",,,,,,,,,,,,
Grid ref,SS387201,Long,-4.298061,Lat,50.957692,,,,,,,
Station no,1857,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.63,3.12,3.52,7.34,6.66,2.74,9.02,2.78,3.35,3.24,,
February,7.11,1.83,1.86,2.99,6.64,2.40,5.97,2.62,3.59,0.89,,
March,1.82,2.93,4.01,8.08,2.15,5.95,3.10,2.02,4.63,5.23,,
April,2.24,5.13,2.25,2.15,2.34,3.22,1.97,5.19,2.87,3.38,,
May,2.32,0.95,2.61,4.35,4.04,0.37,4.56,3.42,2.12,2.24,,
June,4.25,3.72,4.42,1.67,1.93,3.83,1.94,5.17,1.46,2.05,,
July,1.42,1.92,3.08,4.36,5.60,1.63,1.67,2.28,3.17,3.03,,
August,4.33,3.60,2.57,5.52,4.23,6.22,3.56,4.24,4.82,2.05,,
September,2.48,3.52,4.31,5.00,4.10,2.29,1.06,1.22,2.96,2.85,,
October,6.66,4.94,4.84,14.27,4.03,3.80,7.36,7.39,1.80,9.45,,
November,6.63,2.93,5.34,4.33,4.66,6.44,5.65,4.42,2.79,2.58,,
December,9.09,8.99,4.51,5.08,4.80,2.31,4.33,7.54,5.16,7.30,,
Total,55.98,43.58,43.32,65.14,51.18,41.20,50.19,48.29,38.72,44.29,,
Calc annual,55.98,43.58,43.32,65.14,51.18,41.20,50.19,48.29,38.72,44.29,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
