"KILCONQUHAR BALCARRES",,,,,,,,,,,,
Grid ref,NO474043,Long,-2.849969,Lat,56.228331,,,,,,,
Station no,5486,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.40,2.26,1.04,5.21,2.30,0.53,2.67,1.03,2.75,1.99,,
February,4.57,1.56,1.60,4.68,5.12,1.23,0.97,1.21,0.83,1.23,,
March,2.34,2.12,1.48,2.93,1.98,1.93,1.98,2.38,4.07,5.26,,
April,1.62,2.09,1.48,1.46,1.92,2.20,0.75,1.60,1.37,3.76,,
May,1.83,2.73,2.70,1.35,3.03,1.72,6.61,4.06,1.64,2.61,,
June,2.56,2.44,2.22,2.44,1.25,0.60,1.93,3.89,1.21,1.55,,
July,4.71,0.69,3.87,6.14,2.01,2.36,1.13,2.50,2.99,4.73,,
August,4.34,4.46,2.02,4.89,5.80,3.18,5.79,3.55,3.22,2.23,,
September,2.71,1.72,1.52,2.51,1.67,1.89,0.98,1.29,4.78,1.45,,
October,4.95,2.48,1.89,6.26,0.89,2.64,7.35,7.06,3.45,3.92,,
November,6.24,3.11,1.81,1.39,1.04,5.13,3.96,1.77,1.39,0.32,,
December,4.18,4.02,3.58,1.83,2.50,1.52,2.19,3.76,1.03,3.77,,
Total,45.45,29.68,25.21,41.09,29.51,24.93,36.31,34.10,28.73,32.82,,
Calc annual,45.45,29.68,25.21,41.09,29.51,24.93,36.31,34.10,28.73,32.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
