"LOCHTON COLDSTREAM",,,,,,,,,,,,
Grid ref,NT776389,Long,-2.357440,Lat,55.643127,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,1.45,0.55,1.57,0.85,1.89,0.91,,
February,,,,,2.21,0.75,0.72,0.42,1.84,1.50,,
March,,,,,1.83,1.79,1.50,1.25,2.80,5.49,,
April,,,,,1.23,3.18,1.11,1.74,1.25,3.50,,
May,,,,,1.82,0.62,6.06,2.53,2.12,1.30,,
June,,,,,1.99,1.00,1.55,3.78,1.37,1.94,,
July,,,,,2.43,2.40,2.27,2.91,2.21,2.08,,
August,,,,,3.00,3.50,4.78,2.44,1.44,2.25,,
September,,,,,0.63,2.34,0.56,0.76,2.31,2.30,,
October,,,,6.16,0.83,3.38,6.85,7.11,3.78,2.09,,
November,,,,1.25,1.95,3.90,2.68,1.82,1.21,1.58,,
December,,,,1.27,2.22,0.57,2.27,2.76,0.41,1.92,,
Total,,,,,21.59,23.98,31.92,28.37,22.63,26.86,,
Calc annual,0.00,0.00,0.00,8.68,21.59,23.98,31.92,28.37,22.63,26.86,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
