"BUXTED PARK",,,,,,,,,,,,
Grid ref,TQ4857022599,Long,0.115218,Lat,50.983633,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.75,0.87,1.17,2.46,4.68,1.42,5.03,1.40,2.41,1.34,,
February,5.74,1.64,1.52,1.71,3.58,0.82,2.77,1.57,1.41,0.38,,
March,0.89,2.13,1.79,3.31,1.09,4.43,1.97,1.02,2.95,4.20,,
April,1.08,2.89,0.90,2.17,1.05,2.37,1.19,3.40,2.11,1.59,,
May,0.77,1.12,2.69,2.72,2.60,0.97,1.85,2.21,1.79,1.22,,
June,2.74,1.12,2.65,3.03,1.74,4.32,2.47,2.24,1.28,2.43,,
July,1.19,3.33,1.82,3.21,1.30,0.53,0.77,1.45,3.51,2.71,,
August,1.96,1.60,5.40,4.58,0.93,3.57,1.68,1.87,5.51,2.53,,
September,0.98,1.16,0.46,2.68,2.32,2.56,1.62,1.00,1.19,3.16,,
October,2.24,2.32,2.36,6.68,2.47,2.34,4.98,5.53,1.73,7.26,,
November,4.16,0.64,2.56,2.57,1.49,5.66,6.85,2.82,1.56,1.52,,
December,3.42,5.00,2.34,2.71,3.82,0.69,2.21,3.33,3.35,4.91,,
Total,28.92,23.82,25.66,37.83,27.07,29.68,33.39,27.84,28.80,33.25,,
Calc annual,28.92,23.82,25.66,37.83,27.07,29.68,33.39,27.84,28.80,33.25,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
