"BATH",,,,,,,,,,,,
Grid ref,ST752652,Long,-2.357767,Lat,51.385298,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.10,,4.37,,,,,
February,,,,,3.58,,2.12,,,,,
March,,,,,1.92,,1.61,,,,,
April,,,,,1.86,,1.30,,,,,
May,,,,,1.96,,1.79,,,,,
June,,,,,1.41,,2.56,,,,,
July,,,,,2.33,,0.99,,,,,
August,,,,,2.81,,1.96,,,,,
September,,,,,1.31,,0.80,,,,,
October,,,,,0.68,,5.00,,,,,
November,,,,,1.82,,3.03,,,,,
December,,,,,1.84,,1.81,,,,,
Total,,,,,24.62,,27.34,,,,,
Calc annual,0.00,0.00,0.00,0.00,24.62,0.00,27.34,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,-0.00,NaN,NaN,NaN,,
