"HAWES PARK HOUSE",,,,,,,,,,,,
Grid ref,SD868892,Long,-2.204323,Lat,54.298240,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,2.89,,
June,,,,,,,,,,3.93,,
July,,,,,,,,,,6.86,,
August,,,,,,,,,,5.70,,
September,,,,,,,,,,3.30,,
October,,,,,,,,,,12.01,,
November,,,,,,,,,,3.63,,
December,,,,,,,,,,10.00,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
