"EIGIAU LAKE DAM SITE",,,,,,,,,,,,
Grid ref,SH723649,Long,-3.911662,Lat,53.165855,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,9.49,,,
February,,,,,,,,,8.03,12.80,,
March,,,,,,,,,9.97,11.20,,
April,,,,,,,,,4.00,8.50,,
May,,,,,,,,,6.14,3.70,,
June,,,,,,,,,5.32,,,
July,,,,,,,,,6.26,7.50,,
August,,,,,,,,,7.83,,,
September,,,,,,,,,10.26,15.50,,
October,,,,,,,,,3.86,20.50,,
November,,,,,,,,,12.43,,,
December,,,,,,,,,10.99,19.80,,
Total,,,,,,,,,94.58,99.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.58,99.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
