"WHITBY MULGRAVE CASTLE",,,,,,,,,,,,
Grid ref,NZ846125,Long,-0.695157,Lat,54.500774,,,,,,,
Station no,3477,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.04,2.16,1.25,1.68,2.03,0.42,2.00,0.92,1.37,0.86,,
February,5.51,2.77,1.51,1.54,3.18,1.28,2.08,1.29,1.79,1.22,,
March,1.66,2.30,1.26,2.14,1.69,1.44,1.81,0.72,2.77,5.33,,
April,0.92,1.57,0.96,2.97,1.10,2.39,0.71,2.10,2.39,2.50,,
May,1.52,2.07,2.44,2.92,2.64,1.01,4.49,4.63,2.00,1.87,,
June,3.16,1.45,2.80,3.29,1.01,1.14,0.93,2.32,1.15,3.42,,
July,1.61,4.34,2.26,3.46,1.94,0.82,2.07,1.57,2.12,3.28,,
August,6.03,1.62,2.31,1.60,3.46,2.26,2.76,2.58,2.44,5.06,,
September,0.63,0.59,0.79,3.55,1.02,2.02,0.72,0.56,2.23,2.28,,
October,4.50,1.48,2.91,6.70,0.48,4.57,3.95,5.86,1.15,2.57,,
November,2.94,4.53,0.99,3.08,2.39,4.84,2.96,2.43,1.65,1.33,,
December,2.30,4.06,2.80,1.25,2.12,0.53,2.31,3.62,1.94,3.66,,
Total,33.82,28.94,22.28,34.18,23.06,22.72,26.79,28.60,23.00,33.38,,
Calc annual,33.82,28.94,22.28,34.18,23.06,22.72,26.79,28.60,23.00,33.38,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
