"SUNDERLAND W HENDON HOUSE NO 5",,,,,,,,,,,,
Grid ref,NZ397558,Long,-1.382535,Lat,54.895364,,,,,,,
Station no,3549,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.60,1.60,0.71,2.43,1.86,0.26,2.45,0.34,1.11,0.65,,
February,5.07,1.83,1.29,1.05,2.21,0.59,1.04,1.07,1.28,1.45,,
March,2.06,1.92,0.64,1.21,1.07,1.48,1.03,0.96,2.63,4.47,,
April,0.83,0.90,1.49,1.74,0.97,2.47,0.82,2.02,2.76,2.52,,
May,1.26,2.15,2.29,2.35,2.68,0.58,5.36,4.12,1.38,1.69,,
June,3.62,1.48,2.31,2.84,1.59,0.76,1.13,2.64,0.76,2.47,,
July,2.11,2.73,2.78,4.67,1.41,0.97,0.98,1.81,2.48,2.65,,
August,5.35,2.51,1.98,2.23,2.92,2.71,2.14,2.60,1.26,2.95,,
September,0.66,1.07,0.67,2.53,0.72,1.82,0.40,0.37,1.65,1.94,,
October,7.05,1.83,2.34,8.16,0.60,3.32,5.39,3.37,0.99,2.33,,
November,2.85,5.06,1.38,2.35,2.25,4.45,2.96,1.50,1.32,1.28,,
December,2.25,3.59,2.77,1.59,2.07,0.30,2.24,2.73,1.37,3.79,,
Total,35.71,26.67,20.65,33.15,20.35,19.71,25.94,23.53,18.99,28.19,,
Calc annual,35.71,26.67,20.65,33.15,20.35,19.71,25.94,23.53,18.99,28.19,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
