"BOARSHEAD RENBY GRANGE",,,,,,,,,,,,
Grid ref,TQ5335933249,Long,0.187894,Lat,51.078075,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.34,3.26,6.04,1.45,5.96,,,,,
February,,,1.59,1.88,3.65,1.00,2.70,,,,,
March,,,1.75,3.60,1.43,4.89,1.78,,,,,
April,,,1.10,2.53,1.20,2.57,1.06,,,,,
May,,,2.40,2.00,2.72,1.20,2.23,,,,,
June,,,3.15,3.86,1.39,3.54,,,,,,
July,,,1.54,5.71,1.12,0.29,,,,,,
August,,1.86,4.54,4.31,1.49,3.14,,,,,,
September,,1.52,0.49,2.13,2.32,2.25,,,,,,
October,,2.48,2.70,8.37,2.37,2.26,,,,,,
November,,0.67,3.10,2.30,1.63,5.93,,,,,,
December,,5.64,2.43,2.94,4.34,0.80,,,,,,
Total,,,26.13,42.89,29.70,29.32,,,,,,
Calc annual,0.00,12.17,26.13,42.89,29.70,29.32,13.73,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
