"GRANTHAM GUILDHALL",,,,,,,,,,,,
Grid ref,SK915356,Long,-0.640851,Lat,52.910048,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.22,0.97,1.03,1.63,1.57,0.57,2.76,1.02,0.73,0.86,,
February,4.27,1.19,1.16,0.71,3.17,0.66,2.11,1.09,1.39,0.37,,
March,0.72,1.73,1.03,3.16,1.53,1.51,1.22,1.05,2.44,2.45,,
April,1.07,1.49,1.95,1.71,1.14,1.86,0.74,2.45,2.15,1.25,,
May,1.70,1.23,2.87,2.52,1.87,0.53,2.43,4.14,1.47,1.05,,
June,1.92,1.23,2.18,1.79,0.35,3.40,2.68,2.61,0.93,2.78,,
July,1.20,3.32,1.01,1.45,3.65,1.77,1.51,1.65,1.90,3.67,,
August,3.70,1.56,3.92,4.59,2.33,3.89,1.03,2.25,2.46,2.29,,
September,0.42,0.83,0.82,2.65,1.51,3.39,1.02,0.69,1.21,3.83,,
October,2.45,1.43,1.64,5.42,0.42,1.27,3.72,4.38,1.07,2.57,,
November,1.59,1.37,1.67,2.06,0.94,2.30,3.25,1.64,0.99,0.45,,
December,3.98,4.06,1.75,0.90,1.36,0.53,1.99,2.48,1.02,4.03,,
Total,26.24,20.41,21.03,28.59,19.84,21.68,24.46,25.45,17.76,25.60,,
Calc annual,26.24,20.41,21.03,28.59,19.84,21.68,24.46,25.45,17.76,25.60,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
