"HENSTRIDGE",,,,,,,,,,,,
Grid ref,ST725200,Long,-2.393091,Lat,50.978747,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.82,0.88,6.22,0.89,1.38,,,
February,,,,,4.83,0.96,3.19,1.71,1.36,,,
March,,,,,1.50,4.63,1.49,0.95,3.50,,,
April,,,,,1.70,2.45,1.34,5.14,2.32,,,
May,,,,,3.35,0.40,3.97,1.91,1.78,,,
June,,,,,0.84,4.26,2.11,2.87,0.48,,,
July,,,,,3.05,0.21,1.71,1.59,1.88,,,
August,,,,,2.42,3.39,1.89,2.29,3.46,,,
September,,,,,1.81,1.35,0.97,0.63,3.36,,,
October,,,,,2.79,2.03,5.97,7.59,2.11,,,
November,,,,,1.72,4.75,3.29,3.66,1.51,,,
December,,,,,2.97,0.97,2.56,4.61,3.42,,,
Total,,,,,30.80,26.28,34.71,33.84,26.56,,,
Calc annual,0.00,0.00,0.00,0.00,30.80,26.28,34.71,33.84,26.56,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,NaN,,
