"COTHELSTONE HOUSE",,,,,,,,,,,,
Grid ref,ST182318,Long,-3.169108,Lat,51.079668,,,,,,,
Station no,RR330,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.34,2.10,1.45,4.25,4.27,0.91,5.23,1.60,1.11,1.66,,
February,5.47,0.78,1.45,1.77,4.88,1.47,3.20,1.50,2.30,0.55,,
March,1.56,2.44,1.74,3.75,2.76,4.26,1.65,0.85,3.04,4.15,,
April,1.34,2.77,1.30,2.44,0.89,2.29,1.32,5.66,2.29,1.85,,
May,1.74,1.10,2.73,2.27,2.10,0.13,3.43,2.41,1.69,1.07,,
June,2.67,2.09,2.70,4.83,1.02,3.91,2.40,2.04,0.19,4.09,,
July,2.11,1.98,1.89,2.79,3.51,0.39,0.65,2.38,1.60,1.65,,
August,2.44,2.09,2.98,3.62,3.37,5.66,2.03,2.61,3.01,2.31,,
September,0.72,1.83,2.46,4.86,2.25,1.63,0.66,0.61,3.56,2.89,,
October,3.88,3.03,2.71,7.59,1.29,2.04,4.45,6.99,4.06,5.23,,
November,4.60,1.86,3.60,2.40,1.72,3.42,5.53,3.27,1.61,1.38,,
December,5.76,6.22,2.20,3.56,2.16,1.06,2.45,5.97,3.19,4.87,,
Total,36.63,28.29,27.21,44.13,30.22,27.17,33.00,35.89,27.65,31.70,,
Calc annual,36.63,28.29,27.21,44.13,30.22,27.17,33.00,35.89,27.65,31.70,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
