"LOCHRUTTON (DUMFRIES W. W.)",,,,,,,,,,,,
Grid ref,NX901743,Long,-3.721788,Lat,55.050998,,,,,,,
Station no,5025,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,5.12,5.18,,
February,,,,,,,,3.47,2.83,1.84,,
March,,,,,,,,4.45,5.73,5.38,,
April,,,,,,,,2.94,2.34,4.09,,
May,,,,,,,,4.92,3.74,2.72,,
June,,,,,,,,6.71,3.92,3.60,,
July,,,,,,,,2.23,3.83,5.16,,
August,,,,,,,,5.29,5.07,2.34,,
September,,,,,,,,1.09,5.45,2.27,,
October,,,,,,,,8.48,2.03,11.35,,
November,,,,,,,,4.09,3.13,1.53,,
December,,,,,,,,5.96,4.28,6.61,,
Total,,,,,,,,,47.47,52.07,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.63,47.47,52.07,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
