"STRATHBLANE CRAIGEND CASTLE",,,,,,,,,,,,
Grid ref,NS545778,Long,-4.332943,Lat,55.971081,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.59,4.55,5.00,3.76,4.35,4.09,7.33,3.81,6.25,7.06,,
February,4.78,2.24,1.83,8.22,5.12,4.14,4.44,5.08,4.20,2.43,,
March,0.42,2.94,4.90,7.67,3.00,5.39,5.68,5.90,5.67,3.14,,
April,3.34,3.92,1.40,1.83,6.95,4.14,2.83,2.43,1.52,4.10,,
May,3.98,2.18,1.87,3.30,4.52,3.23,7.21,5.64,3.19,3.19,,
June,5.57,4.32,2.43,2.85,2.90,1.85,1.97,7.56,3.57,2.89,,
July,4.85,2.43,3.13,6.51,4.40,3.97,3.74,3.40,4.43,4.82,,
August,4.69,6.15,3.20,9.30,4.36,5.34,4.83,6.59,5.31,4.09,,
September,5.84,5.08,3.67,5.52,6.58,3.85,2.70,1.47,10.20,3.17,,
October,8.32,5.93,3.45,11.37,3.21,3.47,7.65,5.50,2.13,8.36,,
November,7.13,4.75,2.73,2.65,3.47,5.54,4.45,3.95,5.00,3.96,,
December,10.11,6.75,6.26,4.45,6.66,5.67,6.15,8.18,5.46,7.00,,
Total,65.62,51.24,39.87,67.43,55.52,50.68,58.98,59.51,56.93,54.21,,
Calc annual,65.62,51.24,39.87,67.43,55.52,50.68,58.98,59.51,56.93,54.21,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
