"HAMILTON ARDENCLUTHA LAIGHSTONE HALL",,,,,,,,,,,,
Grid ref,NS709555,Long,-4.059736,Lat,55.775541,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.33,2.39,3.09,6.62,4.27,1.77,4.54,2.85,4.88,6.17,,
February,2.67,1.44,0.98,6.61,2.51,2.47,2.45,3.12,2.69,2.42,,
March,0.32,2.70,2.81,8.99,1.39,3.98,3.52,4.10,4.39,2.41,,
April,1.91,3.12,0.62,1.03,5.18,2.17,1.14,1.57,1.65,2.48,,
May,2.05,1.67,1.93,2.37,2.53,1.11,3.89,4.01,2.52,2.15,,
June,3.98,2.50,1.87,1.87,1.70,0.81,0.90,3.75,2.22,2.29,,
July,3.38,1.65,2.53,3.36,2.37,3.62,1.53,2.75,2.38,3.29,,
August,4.20,3.70,1.87,5.02,3.40,2.97,5.50,3.95,2.85,2.18,,
September,3.51,2.31,3.12,3.53,2.16,2.26,1.46,0.66,4.11,1.82,,
October,5.15,4.34,1.89,5.89,1.81,2.21,5.85,6.76,1.14,6.35,,
November,6.05,3.37,1.54,3.03,2.19,2.87,3.68,2.08,3.36,2.36,,
December,7.40,4.28,4.35,2.80,3.69,3.46,3.34,4.92,2.92,4.86,,
Total,45.95,33.47,26.60,51.12,33.20,29.70,37.80,40.52,35.11,38.78,,
Calc annual,45.95,33.47,26.60,51.12,33.20,29.70,37.80,40.52,35.11,38.78,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
