"WOOLER ST NINIANS",,,,,,,,,,,,
Grid ref,NT990283,Long,-2.017407,Lat,55.548403,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.80,1.88,1.54,3.79,2.25,0.87,2.19,0.77,2.10,2.01,,
February,6.97,2.80,1.63,2.99,2.58,1.31,1.42,1.57,1.86,2.83,,
March,2.47,2.45,1.50,1.08,1.81,1.98,1.78,1.33,4.60,7.79,,
April,2.32,1.66,1.86,1.42,1.60,3.18,1.06,2.79,2.33,3.32,,
May,1.17,3.70,4.28,1.28,2.72,0.95,8.16,3.80,1.63,1.62,,
June,3.80,1.23,2.63,2.13,1.94,0.53,1.62,3.48,0.73,2.31,,
July,1.43,3.79,1.84,5.22,1.21,0.99,1.69,2.45,1.88,2.27,,
August,4.95,2.80,1.25,2.89,2.56,2.82,3.97,1.94,1.71,1.82,,
September,1.09,0.98,1.38,2.93,0.71,2.74,0.37,0.33,1.70,2.62,,
October,5.76,1.53,1.71,8.13,0.78,3.83,7.34,7.96,2.83,3.33,,
November,4.67,3.67,2.22,2.68,2.80,6.57,3.12,2.27,1.36,1.23,,
December,2.58,4.90,3.88,2.63,1.99,0.68,2.38,3.43,0.95,3.59,,
Total,41.01,31.39,25.72,37.17,22.95,26.45,35.10,32.12,23.68,34.74,,
Calc annual,41.01,31.39,25.72,37.17,22.95,26.45,35.10,32.12,23.68,34.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
