"NORWICH ESSEX STREET",,,,,,,,,,,,
Grid ref,TG220081,Long,1.278595,Lat,52.625239,,,,,,,
Station no,RR447,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.04,0.63,,,,,,,,,,
February,3.35,1.54,,,,,,,,,,
March,1.05,2.05,,,,,,,,,,
April,2.05,2.28,,,,,,,,,,
May,1.75,1.22,,,,,,,,,,
June,2.83,1.32,,,,,,,,,,
July,1.69,1.11,,,,,,,,,,
August,4.33,1.06,,,,,,,,,,
September,0.58,0.92,,,,,,,,,,
October,2.15,2.05,,,,,,,,,,
November,2.04,2.27,,,,,,,,,,
December,3.00,4.12,,,,,,,,,,
Total,27.86,20.57,,,,,,,,,,
Calc annual,27.86,20.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
