"CHORLEY CROOKE HALL",,,,,,,,,,,,
Grid ref,SD576215,Long,-2.643513,Lat,53.688219,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.09,2.44,3.69,2.86,3.52,,,,,,,
February,3.22,1.86,1.62,3.49,3.97,,,,,,,
March,0.73,3.36,2.74,3.80,2.24,,,,,,,
April,2.03,2.36,2.59,1.91,2.44,,,,,,,
May,2.03,0.75,3.19,3.55,1.91,,,,,,,
June,1.54,1.80,1.53,1.92,2.49,,,,,,,
July,2.50,1.55,3.68,3.23,1.39,,,,,,,
August,6.00,2.84,3.10,5.79,4.80,,,,,,,
September,2.83,1.15,1.73,4.66,1.35,,,,,,,
October,6.35,3.69,4.75,7.22,2.94,,,,,,,
November,3.80,4.91,1.91,3.64,2.99,,,,,,,
December,4.53,3.66,3.29,2.85,3.42,,,,,,,
Total,40.65,30.37,33.82,44.92,33.46,,,,,,,
Calc annual,40.65,30.37,33.82,44.92,33.46,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
