"PENTLAND HILLS HARBOUR HILL",,,,,,,,,,,,
Grid ref,NT208659,Long,-3.267531,Lat,55.879717,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.20,1.90,2.22,6.30,6.02,2.28,5.60,2.00,4.30,3.50,,
February,3.10,2.30,1.30,9.42,4.10,2.50,1.70,2.10,1.50,2.30,,
March,1.61,3.80,1.98,9.40,1.60,4.08,3.00,3.00,4.80,4.50,,
April,3.50,3.25,1.90,1.80,3.70,2.10,1.50,1.90,2.80,3.20,,
May,2.40,3.70,6.00,2.74,4.62,2.22,6.30,4.00,2.40,2.00,,
June,4.50,2.50,2.75,2.00,3.30,1.10,2.40,3.00,1.45,3.50,,
July,4.10,1.30,3.50,4.90,2.50,1.90,2.30,3.30,4.30,4.50,,
August,5.80,4.50,2.00,4.50,5.80,4.50,6.60,4.80,3.00,2.52,,
September,4.12,2.50,2.90,2.90,2.80,3.00,1.00,1.55,3.65,3.10,,
October,5.63,2.50,3.68,7.75,1.30,2.90,7.10,11.50,1.50,6.33,,
November,8.20,4.50,1.32,2.30,2.00,4.20,5.50,1.62,2.50,1.20,,
December,9.70,3.70,4.20,3.00,6.70,2.10,1.90,4.50,1.10,4.40,,
Total,57.86,36.45,33.75,57.01,44.44,32.88,44.90,43.27,33.30,41.05,,
Calc annual,57.86,36.45,33.75,57.01,44.44,32.88,44.90,43.27,33.30,41.05,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
