"SHREWSBURY FITZ RECTORY",,,,,,,,,,,,
Grid ref,SJ447178,Long,-2.820807,Lat,52.754967,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.16,2.30,2.27,0.63,3.41,1.33,1.14,1.32,,
February,,,1.21,1.59,3.66,0.92,2.03,1.12,1.29,0.77,,
March,,,1.14,3.64,1.55,3.78,1.26,0.83,2.73,2.35,,
April,,,1.85,1.13,1.01,1.61,0.84,1.61,2.63,2.06,,
May,,,3.20,2.47,2.17,1.01,1.63,2.46,2.17,0.52,,
June,,,2.14,2.11,1.15,3.86,1.80,3.10,2.57,2.75,,
July,,,1.03,2.53,2.38,1.17,0.86,2.44,3.29,2.20,,
August,,,3.56,4.87,5.15,3.53,1.84,2.64,3.14,1.88,,
September,,,1.61,4.00,1.80,1.17,0.66,0.74,2.67,2.17,,
October,,,2.94,5.97,0.62,1.41,4.82,5.69,1.83,3.18,,
November,,,1.86,2.43,1.20,2.43,2.37,2.72,1.65,0.60,,
December,,,2.02,2.26,1.81,0.78,2.20,2.07,2.64,3.90,,
Total,,,23.72,35.30,24.77,22.30,23.72,26.75,27.75,23.70,,
Calc annual,0.00,0.00,23.72,35.30,24.77,22.30,23.72,26.75,27.75,23.70,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
