"BOSTON BLACK SLUICE SKIRBECK",,,,,,,,,,,,
Grid ref,TF335430,Long,-0.013618,Lat,52.967747,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.37,0.69,1.31,1.52,1.15,0.81,2.62,0.76,0.87,0.90,,
February,4.47,1.13,1.37,0.57,2.69,0.59,1.88,1.09,1.20,0.48,,
March,0.40,1.79,1.09,2.70,1.46,1.76,1.76,1.56,2.16,3.19,,
April,1.53,1.38,1.57,1.25,0.81,1.81,0.55,1.86,2.30,1.51,,
May,1.34,1.52,2.62,3.57,0.97,1.35,1.21,3.04,1.57,0.90,,
June,2.87,0.33,2.77,1.65,1.32,2.39,2.28,1.44,1.55,3.38,,
July,0.69,2.61,1.23,2.44,3.15,1.36,0.46,2.00,3.23,4.20,,
August,3.99,1.56,3.15,4.45,1.75,2.80,2.62,1.87,2.41,2.76,,
September,0.42,1.09,1.34,2.97,2.66,2.25,0.81,0.50,1.62,1.63,,
October,2.20,2.33,2.33,5.68,1.48,1.53,4.23,4.09,0.87,3.54,,
November,2.14,1.75,1.02,1.80,0.67,2.16,2.97,2.07,1.21,0.66,,
December,4.08,4.01,1.92,1.11,1.87,0.84,2.03,2.59,1.16,3.71,,
Total,27.50,20.19,21.72,29.71,19.98,19.65,23.42,22.87,20.15,26.86,,
Calc annual,27.50,20.19,21.72,29.71,19.98,19.65,23.42,22.87,20.15,26.86,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
