"SUNDERLAND W HENDON HO NO 6",,,,,,,,,,,,
Grid ref,NZ397558,Long,-1.382535,Lat,54.895364,,,,,,,
Station no,3549,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.65,1.63,0.72,2.48,1.88,0.26,2.47,0.36,1.10,0.66,,
February,5.08,1.88,1.36,1.07,2.22,0.59,1.05,1.08,1.29,1.46,,
March,2.08,1.95,0.66,1.21,1.12,1.46,1.07,0.95,2.63,4.45,,
April,0.84,0.91,1.50,1.81,1.00,2.49,0.82,2.03,2.74,2.54,,
May,1.27,2.16,2.31,2.39,2.72,0.59,5.41,4.12,1.39,1.69,,
June,3.62,1.50,2.32,2.87,1.60,0.77,1.13,2.65,0.76,2.46,,
July,2.12,2.74,2.83,4.69,1.43,0.97,0.98,1.81,2.49,2.69,,
August,5.39,2.55,2.00,2.23,2.94,2.71,2.14,2.61,1.28,2.96,,
September,0.66,1.07,0.68,2.57,0.74,1.82,0.41,0.37,1.65,1.99,,
October,7.13,1.83,2.37,8.19,0.60,3.34,5.37,3.39,1.01,2.35,,
November,2.87,5.10,1.38,2.43,2.29,4.47,2.96,1.49,1.35,1.20,,
December,2.26,3.69,2.75,1.61,2.06,0.31,2.26,2.76,1.30,3.80,,
Total,35.97,27.01,20.88,33.55,20.60,19.78,26.07,23.62,18.99,28.25,,
Calc annual,35.97,27.01,20.88,33.55,20.60,19.78,26.07,23.62,18.99,28.25,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
