"HETHERSETT THICKTHORN",,,,,,,,,,,,
Grid ref,TG188056,Long,1.229745,Lat,52.604098,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.73,1.45,0.91,,,,,,
February,,,,0.33,2.77,1.58,,,,,,
March,,,,1.03,1.96,1.69,,,,,,
April,,,,2.46,0.66,2.27,,,,,,
May,,,,2.17,1.59,1.28,,,,,,
June,,,,2.73,0.86,3.19,,,,,,
July,,,,5.74,1.80,0.83,,,,,,
August,,,,3.10,2.50,2.47,,,,,,
September,,,,2.67,2.14,2.65,,,,,,
October,,,,4.77,0.92,3.56,,,,,,
November,,,,1.63,0.95,1.90,,,,,,
December,,,,0.93,2.00,0.49,,,,,,
Total,,,,29.29,19.60,22.82,,,,,,
Calc annual,0.00,0.00,0.00,29.29,19.60,22.82,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
