"HASLEMERE LOWER STREET COURTS HILL",,,,,,,,,,,,
Grid ref,SU903329,Long,-0.712061,Lat,51.088317,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.03,2.08,1.23,3.25,6.11,1.43,7.55,1.03,2.06,1.28,,
February,8.81,2.38,2.06,2.46,4.75,0.85,3.86,1.83,1.44,0.62,,
March,1.06,2.54,2.34,4.15,1.62,5.25,1.72,1.08,3.89,5.46,,
April,1.05,3.32,1.41,2.87,1.70,1.24,0.61,5.24,3.63,1.85,,
May,1.57,1.00,2.36,3.52,3.84,0.56,2.54,2.60,2.74,2.19,,
June,3.75,2.07,3.24,4.90,1.19,7.26,2.00,2.10,1.07,2.94,,
July,1.18,2.30,1.14,3.89,1.34,1.00,0.53,1.37,2.74,3.10,,
August,3.27,1.89,4.19,4.87,2.68,3.53,1.61,2.57,5.48,1.98,,
September,1.23,1.90,1.66,3.68,2.19,2.63,2.03,0.55,2.32,2.81,,
October,3.15,3.60,2.86,9.21,2.93,1.97,6.58,7.78,2.93,8.36,,
November,3.54,0.86,3.93,2.15,1.66,4.93,5.61,3.00,1.45,0.68,,
December,6.22,5.32,2.32,3.25,3.94,1.00,2.44,4.53,4.17,5.14,,
Total,39.86,29.26,28.74,48.20,33.95,31.65,37.08,33.68,33.92,36.41,,
Calc annual,39.86,29.26,28.74,48.20,33.95,31.65,37.08,33.68,33.92,36.41,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
