"STROMA",,,,,,,,,,,,
Grid ref,ND355794,Long,-3.114644,Lat,58.697530,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.10,0.40,0.46,2.30,2.18,1.22,2.81,4.10,2.34,3.39,,
February,1.30,2.20,0.10,4.20,2.24,3.82,2.56,3.06,4.58,1.30,,
March,0.30,,1.20,1.02,0.81,1.99,1.44,2.17,2.55,1.46,,
April,0.90,2.20,0.82,2.13,3.08,1.95,2.47,1.69,1.21,2.05,,
May,0.90,0.90,0.46,0.49,1.17,0.75,1.90,0.82,2.04,2.11,,
June,0.10,1.70,0.13,1.50,1.26,1.25,,3.73,2.22,1.54,,
July,2.70,0.90,2.13,1.62,0.44,2.11,1.73,1.00,1.46,2.52,,
August,2.20,0.90,2.65,4.30,2.58,2.52,2.30,3.82,1.85,2.53,,
September,2.22,0.22,2.19,1.82,1.91,2.99,2.14,0.54,2.82,1.73,,
October,3.20,1.17,1.31,2.93,3.25,3.19,2.07,2.38,0.85,3.29,,
November,0.70,0.52,0.85,3.65,3.13,3.04,4.61,1.65,3.89,5.84,,
December,3.50,1.32,3.90,0.79,3.03,0.96,4.98,2.51,3.35,2.93,,
Total,20.12,,16.20,26.75,25.08,25.79,,27.47,29.16,30.69,,
Calc annual,20.12,12.43,16.20,26.75,25.08,25.79,29.01,27.47,29.16,30.69,,
Difference,0.00,NaN,0.00,0.00,-0.00,-0.00,NaN,0.00,-0.00,0.00,,
