"BURTON HOAR CROSS",,,,,,,,,,,,
Grid ref,SK123230,Long,-1.818990,Lat,52.804416,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.08,2.14,1.41,1.89,2.69,1.41,4.24,1.20,1.11,1.35,,
February,3.85,1.37,1.76,1.21,4.24,0.74,3.06,1.76,1.26,0.60,,
March,0.89,2.15,1.63,4.02,1.82,2.75,1.92,1.40,2.77,3.24,,
April,1.50,2.06,2.57,2.10,1.85,1.99,1.25,1.50,3.22,1.72,,
May,1.81,0.80,2.35,3.36,2.07,0.35,2.24,3.89,3.62,1.78,,
June,4.49,2.62,2.06,1.55,0.66,2.55,2.02,2.70,1.79,2.88,,
July,2.28,3.26,1.87,2.75,2.64,2.45,1.23,3.89,2.43,4.10,,
August,5.33,1.96,3.58,4.73,3.51,4.31,1.00,3.16,4.07,2.10,,
September,0.91,0.75,2.07,4.11,1.91,1.56,1.36,1.17,2.29,2.70,,
October,3.05,2.37,2.58,5.57,1.06,1.61,4.71,4.84,1.71,3.50,,
November,2.52,1.74,2.14,3.51,1.79,2.85,2.87,2.59,1.98,0.97,,
December,4.47,5.14,1.95,2.19,1.77,0.83,3.03,3.30,2.19,5.02,,
Total,35.18,26.36,25.97,36.99,26.01,23.40,28.93,31.40,28.44,29.96,,
Calc annual,35.18,26.36,25.97,36.99,26.01,23.40,28.93,31.40,28.44,29.96,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
