"HUDDERSFIELD CEMETERY",,,,,,,,,,,,
Grid ref,SE137174,Long,-1.794199,Lat,53.652922,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.87,1.72,2.47,3.93,3.84,1.53,4.89,1.81,3.24,2.39,,
February,5.55,1.18,1.28,4.29,4.89,1.95,3.29,2.88,2.88,1.59,,
March,0.97,3.18,1.71,5.35,2.32,3.36,3.41,3.29,3.56,3.46,,
April,1.58,1.98,1.72,1.85,2.48,2.26,1.20,2.29,2.17,2.85,,
May,1.32,1.11,2.79,3.27,3.43,0.62,2.87,4.36,2.15,2.34,,
June,2.63,1.00,1.63,1.33,0.85,2.33,1.25,4.22,1.91,3.08,,
July,3.33,2.98,2.07,2.91,5.71,1.48,1.75,2.22,3.63,3.94,,
August,5.89,1.36,3.25,3.86,5.13,4.28,2.42,2.26,2.91,2.53,,
September,0.60,0.84,2.16,4.74,0.58,1.75,0.69,0.49,2.77,2.59,,
October,4.04,2.24,3.31,9.41,1.01,2.62,6.29,5.63,1.66,3.93,,
November,2.91,5.09,2.35,1.83,2.44,4.28,4.34,2.91,2.16,1.20,,
December,4.14,5.42,3.54,2.15,2.12,0.80,3.39,3.09,1.75,6.38,,
Total,36.83,28.10,28.28,44.92,34.80,27.26,35.79,35.45,30.79,36.28,,
Calc annual,36.83,28.10,28.28,44.92,34.80,27.26,35.79,35.45,30.79,36.28,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
