"INVERSHIN",,,,,,,,,,,,
Grid ref,NH573967,Long,-4.411841,Lat,57.936711,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.01,3.73,2.13,3.77,1.64,4.55,3.51,4.22,3.27,3.13,,
February,1.28,3.12,0.39,3.94,3.86,4.53,4.09,2.66,4.56,2.08,,
March,3.23,3.58,3.87,2.69,0.80,4.38,2.45,2.11,3.78,2.09,,
April,3.87,1.77,1.92,4.07,4.44,2.40,2.71,2.20,1.72,2.84,,
May,1.35,0.97,2.79,1.80,1.54,1.32,4.76,3.79,2.23,2.23,,
June,2.34,3.55,2.71,1.45,1.17,0.74,0.63,3.11,1.54,1.70,,
July,3.38,2.84,2.30,2.77,0.75,1.61,3.44,1.33,1.56,2.61,,
August,4.29,2.81,1.75,5.96,3.68,3.30,3.34,3.09,1.98,2.39,,
September,1.84,1.97,2.37,2.30,2.24,2.06,1.43,0.88,4.01,1.96,,
October,4.81,4.03,1.12,5.76,2.38,4.22,2.72,1.97,0.44,4.47,,
November,4.38,3.07,1.62,5.65,2.80,5.36,8.18,2.57,3.75,3.75,,
December,5.93,2.23,4.54,1.53,2.78,1.95,3.39,3.58,1.65,1.89,,
Total,40.71,33.67,27.51,41.69,28.08,36.42,40.65,31.51,30.49,31.14,,
Calc annual,40.71,33.67,27.51,41.69,28.08,36.42,40.65,31.51,30.49,31.14,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
