"FRIMLEY GREEN W.W.",,,,,,,,,,,,
Grid ref,SU887563,Long,-0.729127,Lat,51.298926,,,,,,,
Station no,244,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.67,0.88,0.57,1.99,2.39,0.54,2.93,0.36,1.66,0.46,,
February,4.03,1.69,0.48,2.26,3.15,0.71,1.76,1.12,0.84,0.27,,
March,0.93,1.21,1.39,2.38,1.18,2.47,1.16,0.58,2.53,2.65,,
April,0.91,1.32,0.73,1.82,1.34,1.09,0.44,3.97,2.53,1.82,,
May,1.07,0.57,2.07,2.41,3.11,0.97,1.97,1.55,1.53,1.26,,
June,1.89,1.14,3.40,5.01,0.89,3.73,2.04,1.72,0.98,2.45,,
July,0.96,2.24,0.98,3.64,1.78,0.71,0.24,1.42,1.10,1.41,,
August,2.15,1.54,3.05,3.24,1.61,2.59,0.60,2.56,2.77,1.01,,
September,0.31,1.35,0.76,2.05,1.37,1.93,0.94,0.60,1.31,1.38,,
October,1.75,2.01,1.33,6.15,1.62,1.38,4.33,4.81,2.28,2.45,,
November,1.54,0.24,2.84,1.57,1.17,2.33,3.83,1.92,0.59,0.31,,
December,2.09,2.84,1.23,2.17,2.41,0.61,1.69,3.08,1.62,1.89,,
Total,20.30,17.03,18.83,34.69,22.02,19.06,21.93,23.69,19.74,17.36,,
Calc annual,20.30,17.03,18.83,34.69,22.02,19.06,21.93,23.69,19.74,17.36,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
