"KENN CHAPEL COURT",,,,,,,,,,,,
Grid ref,SX921857,Long,-3.527957,Lat,50.660946,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.09,,,
February,,,,,,,,,1.61,,,
March,,,,,,,,,3.47,,,
April,,,,,,,,3.53,2.22,,,
May,,,,,,,,3.01,1.51,,,
June,,,,,,,,2.27,0.53,,,
July,,,,,,,,1.04,1.18,,,
August,,,,,,,,0.88,3.78,,,
September,,,,,,,,0.55,3.01,,,
October,,,,,,,,9.56,2.30,,,
November,,,,,,,,3.63,1.18,,,
December,,,,,,,,5.46,3.64,,,
Total,,,,,,,,,25.52,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.93,25.52,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
