"DARWEN BOLD VENTURE PARK",,,,,,,,,,,,
Grid ref,SD687217,Long,-2.475460,Lat,53.690802,,,,,,,
Station no,2943,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.07,3.08,,
February,,,,,,,,,4.60,2.90,,
March,,,,,,,,,3.78,4.14,,
April,,,,,,,,,2.88,4.77,,
May,,,,,,,,,3.92,3.38,,
June,,,,,,,,,2.27,3.94,,
July,,,,,,,,,6.01,7.80,,
August,,,,,,,,,4.55,4.05,,
September,,,,,,,,,5.54,3.64,,
October,,,,,,,,,2.30,8.22,,
November,,,,,,,,,4.59,2.65,,
December,,,,,,,,,3.87,8.05,,
Total,,,,,,,,,48.38,56.62,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.38,56.62,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
