"SOUTHWARK PARK",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.96,3.40,0.67,1.17,0.42,,
February,,,,,,0.48,1.33,0.92,1.11,0.54,,
March,,,,,,3.10,0.67,0.72,1.70,1.95,,
April,,,,,,1.31,0.63,2.93,1.53,1.23,,
May,,,,,,0.70,1.12,1.46,1.53,0.95,,
June,,,,,,4.00,2.35,1.75,2.62,3.12,,
July,,,,,2.13,0.56,0.23,1.07,2.90,2.58,,
August,,,,,1.28,2.14,0.94,1.67,2.50,1.47,,
September,,,,,0.95,1.65,1.58,1.07,1.27,1.65,,
October,,,,,1.46,0.60,2.86,2.50,1.79,3.18,,
November,,,,,1.40,2.41,3.50,1.82,0.62,0.68,,
December,,,,,1.70,0.49,1.45,2.54,1.52,1.84,,
Total,,,,,,18.40,20.06,19.12,20.26,19.61,,
Calc annual,0.00,0.00,0.00,0.00,8.92,18.40,20.06,19.12,20.26,19.61,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,,
