"N UIST LOCH MADDY",,,,,,,,,,,,
Grid ref,NF917688,Long,-7.163355,Lat,57.603485,,,,,,,
Station no,RR149,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.13,3.26,3.79,5.12,4.74,3.02,3.43,4.12,4.02,4.74,,
February,2.42,2.39,2.44,4.37,5.63,5.21,3.56,3.15,3.16,1.83,,
March,0.68,2.23,4.83,6.40,2.65,6.25,1.61,4.24,4.89,1.87,,
April,4.18,3.11,2.97,1.92,4.02,1.77,2.90,1.54,2.61,3.89,,
May,3.15,1.76,3.13,1.38,2.62,1.25,2.89,3.24,3.63,3.30,,
June,2.99,3.09,1.55,2.20,2.34,1.36,1.21,3.99,2.94,1.35,,
July,2.95,2.19,2.51,3.67,2.02,3.09,3.88,1.39,3.33,3.51,,
August,3.69,3.54,2.08,7.34,5.88,3.67,4.53,5.10,3.80,3.69,,
September,6.12,3.74,5.09,1.80,3.10,5.26,2.97,2.41,4.46,2.06,,
October,4.64,5.98,4.21,8.93,4.18,4.09,4.49,2.21,3.25,6.75,,
November,3.32,3.21,4.04,5.52,3.90,4.03,4.09,4.53,4.61,3.80,,
December,8.65,4.59,3.72,3.27,4.77,3.74,4.38,5.05,6.34,4.48,,
Total,48.92,39.09,40.36,51.92,45.85,42.74,39.94,40.97,47.04,41.27,,
Calc annual,48.92,39.09,40.36,51.92,45.85,42.74,39.94,40.97,47.04,41.27,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
