"DUNTOCHER COCHNO FILTERS",,,,,,,,,,,,
Grid ref,NS495737,Long,-4.410690,Lat,55.932735,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.64,3.07,5.43,6.25,,
February,,,,,,,3.20,3.36,3.44,2.71,,
March,,,,,,,3.80,5.43,4.71,2.12,,
April,,,,,,,1.23,2.22,1.57,4.29,,
May,,,,,,,6.15,5.19,2.95,3.44,,
June,,,,,,,2.09,4.89,2.65,3.24,,
July,,,,,,,3.32,3.16,2.91,4.47,,
August,,,,,,,4.91,5.97,4.04,3.25,,
September,,,,,,,2.54,1.87,7.17,2.65,,
October,,,,,,,6.36,6.11,2.05,6.32,,
November,,,,,,,4.46,3.44,3.87,2.71,,
December,,,,,,,5.50,6.32,4.23,5.19,,
Total,,,,,,,49.20,51.03,45.02,46.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,49.20,51.03,45.02,46.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
