"BELSTEAD HALL",,,,,,,,,,,,
Grid ref,TM127412,Long,1.099126,Lat,52.028408,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.11,0.97,0.75,,
February,,,,,,,,0.98,1.99,0.99,,
March,,,,,,,,1.06,1.99,2.70,,
April,,,,,,,,3.22,2.60,1.95,,
May,,,,,,,,1.54,1.44,1.11,,
June,,,,,,,,2.00,0.54,4.48,,
July,,,,,,,,2.24,4.41,3.56,,
August,,,,,,,,2.23,2.11,1.97,,
September,,,,,,,,0.84,1.28,2.05,,
October,,,,,,,3.48,3.18,2.06,4.09,,
November,,,,,,,3.91,1.93,1.17,1.02,,
December,,,,,,,2.05,3.20,1.90,4.29,,
Total,,,,,,,,23.53,22.46,28.96,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,9.44,23.53,22.46,28.96,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
