"PETERSFIELD STOCKS FARM",,,,,,,,,,,,
Grid ref,SU665269,Long,-1.052923,Lat,51.037620,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.02,,
February,,,,,,,,,,0.55,,
March,,,,,,,,,,4.07,,
April,,,,,,,,,,1.32,,
May,,,,,,,,,,2.30,,
June,,,,,,,,,,3.81,,
July,,,,,,,,,,3.43,,
August,,,,,,,,,,2.31,,
September,,,,,,,,,,2.70,,
October,,,,,,,,,2.19,5.86,,
November,,,,,,,,,1.33,0.52,,
December,,,,,,,,,2.19,2.87,,
Total,,,,,,,,,,30.76,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,30.76,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
