"LOCHMABEN ESTHWAITE",,,,,,,,,,,,
Grid ref,NY084823,Long,-3.438028,Lat,55.126577,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.19,3.19,2.13,5.03,1.93,3.97,4.24,,
February,,,,4.21,2.90,1.97,2.38,2.55,3.27,1.85,,
March,,,,5.74,3.83,4.90,2.71,3.77,4.29,4.21,,
April,,,,1.26,3.34,3.63,1.44,2.72,1.65,3.92,,
May,,,,3.04,2.71,2.98,6.17,5.08,3.30,2.87,,
June,,,,1.94,3.74,2.62,1.45,6.34,2.75,3.02,,
July,,,,4.72,3.36,3.18,2.74,2.93,3.34,4.09,,
August,,,,5.74,4.71,3.64,7.88,4.79,3.88,1.97,,
September,,,,3.69,1.70,2.33,1.13,0.60,4.54,1.93,,
October,,,,9.85,2.20,2.57,4.20,7.72,2.20,10.10,,
November,,,,3.18,2.60,3.95,2.95,3.16,2.99,1.37,,
December,,,,3.28,2.57,1.67,3.13,6.19,3.95,5.56,,
Total,,,,51.84,36.85,35.57,41.21,47.78,40.13,45.13,,
Calc annual,0.00,0.00,0.00,51.84,36.85,35.57,41.21,47.78,40.13,45.13,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
