"MOULTON",,,,,,,,,,,,
Grid ref,TG401067,Long,1.544469,Lat,52.604983,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.07,0.85,1.04,1.72,1.69,0.92,4.15,1.25,0.67,0.67,,
February,2.91,1.84,0.71,0.29,3.05,1.41,2.48,1.17,1.92,0.61,,
March,1.01,2.49,1.37,1.83,1.82,1.94,1.93,0.83,2.40,2.57,,
April,0.79,2.92,1.09,2.42,0.89,1.85,0.67,2.08,2.32,1.33,,
May,1.28,0.89,3.67,1.73,1.87,1.41,3.25,2.49,1.73,1.38,,
June,1.98,1.73,2.39,2.21,0.57,2.67,2.11,1.78,0.87,3.58,,
July,1.32,1.27,2.27,4.36,1.55,0.61,0.21,1.28,2.44,2.74,,
August,3.21,1.42,4.23,3.32,2.19,3.12,1.30,1.23,2.34,1.48,,
September,0.77,0.93,1.34,2.75,1.48,1.66,1.25,0.26,2.28,1.88,,
October,1.51,1.97,1.48,4.97,1.34,4.62,2.90,3.99,2.38,3.72,,
November,1.47,2.15,1.50,1.76,2.15,1.83,3.96,2.77,1.54,1.58,,
December,1.90,3.83,1.27,1.22,2.72,1.08,1.97,2.61,1.19,4.66,,
Total,20.22,22.29,22.36,28.58,21.32,23.12,26.18,21.74,22.08,26.20,,
Calc annual,20.22,22.29,22.36,28.58,21.32,23.12,26.18,21.74,22.08,26.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
