"BALBRIGGAN LARAGH",,,,,,,,,,,,
Grid ref,IO2050063600,Long,-6.179939,Lat,53.608577,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.20,3.48,,,,,,,,,,
February,3.20,1.02,,,,,,,,,,
March,0.79,1.98,,,,,,,,,,
April,1.88,1.13,,,,,,,,,,
May,1.66,1.64,,,,,,,,,,
June,2.68,1.84,,,,,,,,,,
July,4.22,2.17,,,,,,,,,,
August,5.37,2.79,,,,,,,,,,
September,1.24,3.22,,,,,,,,,,
October,2.57,2.64,,,,,,,,,,
November,4.48,4.70,,,,,,,,,,
December,2.74,2.60,,,,,,,,,,
Total,34.03,29.21,,,,,,,,,,
Calc annual,34.03,29.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
