"BURNHAM OVERY",,,,,,,,,,,,
Grid ref,TF843428,Long,0.741870,Lat,52.950917,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.70,,,,,,,,,,,
February,3.46,,,,,,,,,,,
March,0.58,,,,,,,,,,,
April,1.22,,,,,,,,,,,
May,1.10,,,,,,,,,,,
June,2.15,,,,,,,,,,,
July,2.30,,,,,,,,,,,
August,4.59,,,,,,,,,,,
September,0.93,,,,,,,,,,,
October,1.52,,,,,,,,,,,
November,2.00,,,,,,,,,,,
December,3.34,,,,,,,,,,,
Total,26.89,,,,,,,,,,,
Calc annual,26.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
