"CRATHES CROSS ROADS DURRIS",,,,,,,,,,,,
Grid ref,NO750942,Long,-2.413578,Lat,57.038208,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.90,5.59,2.44,0.88,2.34,1.68,1.44,1.34,,
February,,,1.55,4.00,5.54,1.87,2.42,3.00,0.95,0.79,,
March,,,1.14,4.05,3.17,3.55,1.72,1.08,4.62,5.92,,
April,,,3.74,3.45,1.58,2.94,2.24,1.99,1.76,3.47,,
May,,,3.91,2.37,2.49,1.13,5.73,5.54,1.36,2.45,,
June,,,2.21,1.55,0.83,0.71,1.20,4.76,1.16,1.31,,
July,,,3.47,4.93,1.87,0.72,1.98,1.09,2.24,5.23,,
August,,,2.53,4.72,3.08,3.93,3.11,2.39,2.81,2.94,,
September,,,1.69,3.47,2.40,2.21,0.60,0.90,3.27,1.73,,
October,,,2.39,7.04,0.83,3.39,6.07,6.41,3.53,3.09,,
November,,,6.18,2.05,1.34,9.54,5.78,2.69,1.35,1.48,,
December,,,6.78,4.88,2.13,1.15,2.51,4.26,3.44,4.19,,
Total,,,37.49,48.10,27.70,32.02,35.70,35.79,27.93,33.94,,
Calc annual,0.00,0.00,37.49,48.10,27.70,32.02,35.70,35.79,27.93,33.94,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
