"GUISBOROUGH HUTTON HALL",,,,,,,,,,,,
Grid ref,NZ599145,Long,-1.076092,Lat,54.522259,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.69,1.35,0.97,,,,,,,,,
February,5.07,3.05,1.17,,,,,,,,,
March,1.95,1.80,1.09,,,,,,,,,
April,1.35,1.31,1.76,,,,,,,,,
May,1.03,2.12,2.76,,,,,,,,,
June,3.70,1.63,2.99,,,,,,,,,
July,1.86,5.22,3.17,,,,,,,,,
August,5.99,3.12,2.11,,,,,,,,,
September,0.67,0.75,1.08,,,,,,,,,
October,6.26,2.24,3.26,,,,,,,,,
November,3.04,4.97,0.78,,,,,,,,,
December,1.80,3.92,1.21,,,,,,,,,
Total,35.41,31.48,22.35,,,,,,,,,
Calc annual,35.41,31.48,22.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
