"CROMAR LOGIE-COLDSTONE LOANHEAD",,,,,,,,,,,,
Grid ref,NJ428058,Long,-2.946761,Lat,57.139522,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.73,2.81,1.11,2.43,1.30,0.84,2.89,1.97,1.47,2.01,,
February,4.24,3.22,0.59,3.10,3.79,2.07,2.60,1.63,2.04,1.37,,
March,2.74,3.19,1.75,1.63,1.70,3.61,2.39,1.73,5.04,6.23,,
April,1.92,1.54,2.15,2.86,1.77,3.07,1.66,2.89,3.57,3.11,,
May,1.47,2.72,4.89,1.94,3.13,1.24,7.41,6.07,1.39,3.18,,
June,2.28,2.36,3.53,1.33,0.61,1.21,0.87,4.54,1.00,1.71,,
July,4.14,3.07,3.54,5.02,1.07,2.82,1.76,1.79,3.53,3.53,,
August,4.77,2.88,2.79,3.64,3.77,3.94,5.24,2.80,2.79,1.96,,
September,1.68,1.03,1.69,2.09,1.70,1.88,1.19,1.02,3.47,1.99,,
October,2.78,2.42,1.41,5.43,0.60,3.87,5.52,5.36,1.53,3.23,,
November,3.18,1.98,3.25,2.83,1.67,6.38,6.50,1.67,1.76,1.46,,
December,2.71,3.76,4.10,3.36,2.94,0.55,3.64,3.17,2.93,3.02,,
Total,34.64,30.98,30.80,35.66,24.05,31.48,41.67,34.64,30.52,32.80,,
Calc annual,34.64,30.98,30.80,35.66,24.05,31.48,41.67,34.64,30.52,32.80,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
