"ARBROATH WATER WORKS TOWER",,,,,,,,,,,,
Grid ref,NO635407,Long,-2.595396,Lat,56.556847,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.36,0.82,0.45,1.59,,,,,,,,
February,0.85,1.03,0.63,1.70,,,,,,,,
March,0.26,0.80,0.73,1.19,,,,,,,,
April,1.09,1.73,1.00,0.36,,,,,,,,
May,0.63,1.14,1.40,0.64,,,,,,,,
June,1.62,1.14,1.48,1.24,,,,,,,,
July,3.06,0.37,1.96,2.51,,,,,,,,
August,1.94,2.75,1.55,2.08,,,,,,,,
September,1.75,0.66,0.85,1.29,,,,,,,,
October,2.45,1.44,0.81,2.14,,,,,,,,
November,2.43,1.40,1.07,0.36,,,,,,,,
December,2.16,1.45,0.82,1.09,,,,,,,,
Total,20.60,14.73,12.75,16.19,,,,,,,,
Calc annual,20.60,14.73,12.75,16.19,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
