"LOCHIVRAON",,,,,,,,,,,,
Grid ref,NH117733,Long,-5.162374,Lat,57.709919,,,,,,,
Station no,5779,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,9.37,7.33,6.30,11.70,5.02,6.51,7.35,9.38,,
February,,,2.87,8.11,3.55,10.03,7.05,5.90,10.35,3.22,,
March,,,4.85,7.12,1.70,4.70,5.09,7.40,7.75,1.92,,
April,,,8.46,4.87,9.40,5.10,4.90,4.30,3.72,3.12,,
May,,,2.89,6.91,3.62,3.24,3.07,2.35,2.23,3.10,,
June,,,9.51,2.32,5.02,2.10,2.10,6.02,4.83,1.24,,
July,,,11.12,8.10,1.20,3.45,2.80,3.40,2.05,4.15,,
August,,,7.00,8.60,3.70,3.57,6.35,7.42,4.78,4.46,,
September,,,6.11,14.79,7.92,7.80,4.15,2.04,8.23,2.44,,
October,,,18.30,16.46,5.09,6.33,6.30,1.68,2.08,10.80,,
November,,,2.94,11.05,4.05,6.53,10.80,5.35,7.10,9.82,,
December,,,14.04,7.27,10.65,3.95,9.30,8.20,8.73,4.26,,
Total,,68.52,97.46,102.93,62.20,68.50,66.93,60.57,69.20,57.91,,
Calc annual,0.00,0.00,97.46,102.93,62.20,68.50,66.93,60.57,69.20,57.91,,
Difference,NaN,68.52,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
