"HAWICK",,,,,,,,,,,,
Grid ref,NT504147,Long,-2.785198,Lat,55.423681,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.01,,,,,,
February,,,,,,1.32,,,,,,
March,,,,,,3.25,,,,,,
April,,,,,,2.55,,,,,,
May,,,,,,1.34,,,,,,
June,,,,,,2.16,,,,,,
July,,,,,,0.94,,,,,,
August,,,,,,4.49,,,,,,
September,,,,,,2.73,,,,,,
October,,,,,,2.36,,,,,,
November,,,,,,4.06,,,,,,
December,,,,,,1.25,,,,,,
Total,,,,,,27.46,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.46,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
