"BLACKSTONE EDGE CHELBURN",,,,,,,,,,,,
Grid ref,SD948188,Long,-2.080173,Lat,53.665654,,,,,,,
Station no,2903,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.30,2.70,3.30,4.30,3.40,1.90,5.10,2.00,4.26,2.60,,
February,3.30,1.00,1.50,3.50,3.80,2.10,2.80,2.08,2.76,2.25,,
March,0.70,3.20,1.80,5.40,2.20,3.20,3.40,3.86,3.02,2.60,,
April,2.30,2.60,2.20,1.60,2.80,2.80,1.30,2.13,2.04,3.87,,
May,1.80,1.90,2.50,3.30,1.90,0.70,2.10,3.77,2.54,2.13,,
June,4.00,1.50,1.30,1.10,1.60,2.50,2.10,7.80,2.18,2.57,,
July,2.60,1.90,2.50,5.20,1.80,2.90,2.20,2.95,4.30,5.82,,
August,5.60,2.30,3.00,5.10,4.80,6.00,4.20,4.03,3.65,3.13,,
September,1.50,0.70,2.10,5.70,1.00,1.80,0.90,1.17,3.86,2.94,,
October,5.90,3.10,4.30,8.50,2.40,2.70,6.40,4.98,2.28,5.62,,
November,3.90,6.00,2.50,2.80,2.80,3.60,4.00,3.45,2.56,1.20,,
December,5.00,5.30,3.70,2.20,2.60,0.80,3.00,4.57,2.45,7.15,,
Total,42.90,32.20,30.70,48.70,31.10,31.00,37.50,42.79,35.90,41.88,,
Calc annual,42.90,32.20,30.70,48.70,31.10,31.00,37.50,42.79,35.90,41.88,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
