"CAMBRIDGE SIDNEY STREET",,,,,,,,,,,,
Grid ref,TL450585,Long,0.120523,Lat,52.205656,,,,,,,
Station no,RR66,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.35,0.45,0.45,1.68,1.09,1.04,2.62,1.16,0.72,0.65,,
February,3.27,0.65,1.10,0.40,2.16,0.96,1.65,1.18,0.91,0.21,,
March,0.66,1.77,0.76,2.00,1.19,1.86,1.62,0.84,1.72,2.76,,
April,0.67,2.18,0.97,1.44,0.67,1.38,0.90,2.54,2.20,1.68,,
May,1.31,0.85,3.65,3.19,1.40,1.16,1.33,3.03,1.29,1.43,,
June,2.24,1.77,1.96,3.52,0.85,3.16,3.74,2.18,1.27,3.21,,
July,0.94,1.67,0.87,5.37,2.45,1.30,0.60,2.05,2.95,2.65,,
August,2.29,1.73,2.86,3.26,1.63,2.96,0.79,1.81,2.43,1.81,,
September,0.44,1.36,0.71,2.09,1.35,2.18,0.68,0.62,1.40,1.76,,
October,1.82,2.36,1.10,4.61,0.95,1.34,3.01,2.25,1.06,3.49,,
November,1.60,1.11,1.10,2.02,1.16,1.54,3.07,2.36,0.72,0.41,,
December,1.91,1.82,1.04,1.07,1.60,0.59,2.11,2.71,1.63,2.54,,
Total,19.50,17.72,16.57,30.65,16.50,19.47,22.12,22.73,18.30,22.60,,
Calc annual,19.50,17.72,16.57,30.65,16.50,19.47,22.12,22.73,18.30,22.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
