"RADSTOCK, HALLATROW COURT",,,,,,,,,,,,
Grid ref,ST635573,Long,-2.525078,Lat,51.313633,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.40,2.19,5.96,1.63,,,,
February,,,,,4.68,1.20,3.47,2.29,,,,
March,,,,,2.01,6.10,2.40,1.11,,,,
April,,,,,2.30,2.57,1.24,4.20,,,,
May,,,,,2.92,0.50,4.10,3.15,,,,
June,,,,,1.53,3.45,3.38,3.18,,,,
July,,,,,2.85,1.47,1.21,3.67,,,,
August,,,,,3.13,4.34,3.39,2.62,,,,
September,,,,,2.07,1.86,1.13,,,,,
October,,,,,1.95,1.78,6.74,,,,,
November,,,,,2.47,3.50,3.91,,,,,
December,,,,,2.37,1.63,2.12,,,,,
Total,,,,,31.68,30.59,39.05,,,,,
Calc annual,0.00,0.00,0.00,0.00,31.68,30.59,39.05,21.85,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,NaN,NaN,,
