"PARSONSTOWN BIRR CASTLE",,,,,,,,,,,,
Grid ref,IN0578705113,Long,-7.914333,Lat,53.096806,,,,,,,
Station no,6091,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.04,5.35,3.53,2.31,,1.11,,2.55,,
February,,,2.00,3.24,4.37,1.08,,1.69,,0.96,,
March,,,2.31,5.49,2.79,4.24,,2.73,,2.12,,
April,,,2.00,1.39,2.01,1.88,,2.48,,4.16,,
May,,,1.99,1.58,3.26,0.91,,2.84,,2.59,,
June,,,1.52,1.19,1.63,1.47,,3.05,,1.71,,
July,,,1.96,4.93,3.71,1.28,,4.88,,1.94,,
August,,,2.45,5.18,3.27,5.33,,3.26,,1.12,,
September,,,1.56,3.19,2.35,1.42,,1.04,,2.03,,
October,,,1.69,4.46,2.48,1.32,,4.78,,4.21,,
November,,,4.66,2.51,2.37,2.47,,2.70,,1.94,,
December,,,2.92,2.61,1.91,1.90,,3.48,,3.69,,
Total,,,28.10,41.12,33.68,25.61,,34.04,,29.02,,
Calc annual,0.00,0.00,28.10,41.12,33.68,25.61,0.00,34.04,0.00,29.02,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,0.00,NaN,-0.00,,
