"BINEGAR GURNEYSLADE",,,,,,,,,,,,
Grid ref,ST631494,Long,-2.529999,Lat,51.242574,,,,,,,
Station no,1960,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.53,2.08,,
February,,,,,,,,,2.58,1.01,,
March,,,,,,,,,4.62,4.74,,
April,,,,,,,,,3.30,3.51,,
May,,,,,,,,,2.08,2.55,,
June,,,,,,,,,0.80,3.95,,
July,,,,,,,,,4.29,4.17,,
August,,,,,,,,,7.08,3.77,,
September,,,,,,,,,3.25,4.86,,
October,,,,,,,,,2.55,9.05,,
November,,,,,,,,,1.81,1.69,,
December,,,,,,,,,3.19,6.55,,
Total,,,,,,,,,39.08,47.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.08,47.93,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
