"BUNTINGFORD THROCKING RECTORY",,,,,,,,,,,,
Grid ref,TL336301,Long,-0.057309,Lat,51.953350,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.90,0.47,0.60,2.32,2.40,1.31,3.40,0.94,1.32,0.98,,
February,4.36,1.17,0.92,0.90,3.00,0.94,1.69,1.54,1.14,0.47,,
March,0.83,1.99,1.17,2.96,1.49,2.47,1.72,0.95,2.58,3.24,,
April,1.18,2.38,0.69,1.49,1.01,2.12,1.08,3.46,2.73,1.54,,
May,1.65,1.30,2.13,2.97,1.71,0.99,1.14,2.58,1.43,1.41,,
June,2.34,0.67,2.26,5.56,0.91,2.65,3.29,2.08,2.19,3.88,,
July,1.07,2.74,1.61,5.04,3.48,1.18,1.00,2.10,3.32,3.14,,
August,3.27,2.47,3.39,3.14,2.49,2.65,0.91,2.05,3.21,2.08,,
September,0.57,1.18,1.35,1.91,1.25,1.61,1.36,0.62,2.09,2.02,,
October,1.93,1.53,1.41,5.93,1.20,1.27,3.68,3.21,1.19,4.45,,
November,1.97,0.92,1.21,2.36,1.54,2.43,3.95,2.24,0.93,1.07,,
December,2.42,2.91,1.23,1.78,1.90,0.90,2.57,3.03,1.95,3.10,,
Total,24.49,19.73,17.97,36.36,22.38,20.52,25.79,24.80,24.08,27.38,,
Calc annual,24.49,19.73,17.97,36.36,22.38,20.52,25.79,24.80,24.08,27.38,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
