"CROYDON ASHBURTON ROAD",,,,,,,,,,,,
Grid ref,TQ341661,Long,-0.074577,Lat,51.378122,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,0.89,0.68,2.23,3.95,,,,,,,
February,,1.49,0.80,1.61,3.51,,,,,,,
March,,2.77,1.74,2.45,1.59,,,,,,,
April,,1.97,0.65,1.85,1.23,,,,,,,
May,,1.59,2.84,2.92,2.41,,,,,,,
June,,1.74,3.96,7.62,0.90,,,,,,,
July,,1.39,1.31,4.16,1.19,,,,,,,
August,,2.16,3.08,4.27,1.59,,,,,,,
September,,1.13,0.87,2.21,1.11,,,,,,,
October,1.71,3.08,1.48,5.29,1.98,,,,,,,
November,2.19,0.83,1.87,2.40,1.50,,,,,,,
December,2.56,4.13,1.64,2.03,2.50,,,,,,,
Total,,23.17,20.92,39.04,23.46,,,,,,,
Calc annual,6.46,23.17,20.92,39.04,23.46,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
