"EDGEWORTHSTOWN CURRYGRANE HOUSE",,,,,,,,,,,,
Grid ref,IN2281478601,Long,-7.654819,Lat,53.756713,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.02,5.58,4.26,2.08,4.90,1.87,3.04,2.98,,
February,,,2.83,4.32,4.75,2.11,3.28,2.71,2.08,2.48,,
March,,,1.24,6.21,2.95,4.66,2.76,3.14,4.07,6.61,,
April,,,0.36,0.59,2.59,1.86,2.01,2.46,2.97,4.27,,
May,,,3.08,1.89,2.06,1.92,3.84,3.91,5.78,2.10,,
June,,,2.10,1.17,2.15,2.06,1.59,5.68,2.87,1.64,,
July,,,2.33,4.76,3.87,1.83,3.76,3.15,1.18,3.62,,
August,,,2.15,6.89,5.20,6.89,3.54,4.49,1.92,1.46,,
September,,,1.25,3.58,3.22,1.93,1.40,2.26,7.30,2.58,,
October,,,2.33,5.34,2.52,1.58,5.49,4.29,1.98,6.13,,
November,,,4.09,2.48,2.47,2.50,0.94,3.49,3.56,1.42,,
December,,,3.19,2.81,3.00,2.27,2.37,4.40,4.66,3.20,,
Total,,,27.97,45.62,39.04,31.69,35.88,41.85,41.41,38.49,,
Calc annual,0.00,0.00,27.97,45.62,39.04,31.69,35.88,41.85,41.41,38.49,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
