"LINCOLN BRANSTON HALL",,,,,,,,,,,,
Grid ref,TF018671,Long,-0.477806,Lat,53.191255,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.99,0.73,0.90,1.81,2.11,0.99,2.59,0.94,0.94,1.22,,
February,3.02,1.77,1.46,0.58,2.61,0.62,1.84,1.47,1.71,0.51,,
March,0.63,1.63,1.82,3.83,1.61,1.88,1.55,1.52,2.02,3.08,,
April,0.90,1.40,2.02,1.33,0.95,1.49,1.03,1.79,2.35,1.67,,
May,2.69,0.84,2.70,2.43,1.82,0.54,1.40,3.27,2.02,0.83,,
June,2.88,1.64,2.74,1.00,0.46,2.64,1.59,2.54,1.17,2.79,,
July,1.66,2.54,1.43,2.38,2.78,0.95,2.22,2.52,2.65,3.84,,
August,4.82,1.96,3.69,5.06,3.39,3.56,2.29,1.74,2.19,3.57,,
September,0.29,1.08,0.97,3.79,1.67,2.31,1.00,0.79,1.56,1.73,,
October,2.34,1.72,2.31,6.12,0.47,1.95,4.54,5.03,0.89,2.58,,
November,2.27,2.17,1.54,2.14,0.77,2.43,2.51,2.10,1.14,0.27,,
December,3.37,5.34,1.77,0.89,1.56,0.54,2.15,1.99,1.37,4.04,,
Total,27.86,22.82,23.35,31.36,20.20,19.90,24.71,25.70,20.01,26.13,,
Calc annual,27.86,22.82,23.35,31.36,20.20,19.90,24.71,25.70,20.01,26.13,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
