"CNAPAN GARBH NO 1",,,,,,,,,,,,
Grid ref,NN980863,Long,-3.678795,Lat,56.956656,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.50,,,,,,,,,
February,,,1.10,,,,,,,,,
March,,,1.70,,,,,,,,,
April,,,3.10,,,,,,,,,
May,,,2.30,,,,,,,,,
June,,,1.70,,,,,,,,,
July,,,2.80,,,,,,,,,
August,,,3.70,,,,,,,,,
September,,,2.30,,,,,,,,,
October,,,4.50,,,,,,,,,
November,,,3.70,,,,,,,,,
December,,,6.40,,,,,,,,,
Total,,,35.80,,,,,,,,,
Calc annual,0.00,0.00,35.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
