"CONGLETON, WESTGATE",,,,,,,,,,,,
Grid ref,SJ851627,Long,-2.224302,Lat,53.161213,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.69,1.96,,
February,,,,,,,,,1.40,1.50,,
March,,,,,,,,,3.37,3.31,,
April,,,,,,,,,2.27,2.15,,
May,,,,,,,,,2.08,1.42,,
June,,,,,,,,,1.79,3.25,,
July,,,,,,,,,2.87,5.11,,
August,,,,,,,,,2.95,3.03,,
September,,,,,,,,,2.81,3.00,,
October,,,,,,,,,1.01,5.20,,
November,,,,,,,,,2.71,1.13,,
December,,,,,,,,,2.48,5.17,,
Total,,,,,,,,,27.43,36.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.43,36.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
