"CASTLE BANK, CERES VILLAGE",,,,,,,,,,,,
Grid ref,NO401115,Long,-2.969326,Lat,56.292144,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.34,1.87,1.29,4.63,2.24,0.62,3.53,1.56,1.59,1.91,,
February,2.84,1.22,1.26,3.42,5.04,0.97,1.10,1.62,0.95,0.89,,
March,1.78,1.14,1.18,3.25,1.92,3.14,1.75,2.11,4.37,6.21,,
April,1.32,2.38,1.66,0.90,,1.08,0.95,1.86,1.62,4.10,,
May,1.92,2.14,2.17,1.06,,1.39,7.10,4.74,1.91,3.17,,
June,1.97,1.97,1.96,1.83,,0.67,0.86,3.72,1.42,1.47,,
July,4.54,0.73,2.28,3.95,9.29,1.43,2.23,2.51,2.58,5.00,,
August,4.13,3.35,2.54,4.83,4.64,3.64,5.58,3.56,3.80,2.41,,
September,2.13,2.15,1.70,2.62,3.02,1.61,0.96,1.19,4.77,1.96,,
October,3.89,2.08,1.43,6.48,0.47,0.61,4.69,7.91,3.54,3.75,,
November,5.23,2.25,3.16,1.54,0.77,6.52,4.11,0.51,2.04,0.46,,
December,4.08,3.15,4.11,1.84,2.34,0.74,1.63,2.66,1.66,0.98,,
Total,38.17,24.43,24.74,36.35,29.73,22.42,34.49,33.95,30.25,32.31,,
Calc annual,38.17,24.43,24.74,36.35,29.73,22.42,34.49,33.95,30.25,32.31,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
