"PLYMOUTH FREEDOM FIELD",,,,,,,,,,,,
Grid ref,SX488551,Long,-4.127781,Lat,50.376312,,,,,,,
Station no,1637,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.23,3.28,1.97,5.34,6.01,2.39,7.15,1.29,2.02,2.24,,
February,6.01,1.45,1.84,2.42,7.16,1.24,5.23,2.38,3.00,0.57,,
March,2.67,3.03,2.53,5.61,2.27,5.73,1.52,1.14,4.45,5.97,,
April,2.27,4.16,1.99,1.64,1.64,2.85,1.13,4.91,3.39,1.90,,
May,1.79,1.48,2.07,2.20,3.93,1.00,4.06,3.70,2.09,1.02,,
June,3.86,1.66,3.62,3.64,1.13,2.58,2.02,2.81,0.56,3.32,,
July,1.48,3.95,2.35,4.23,5.99,0.79,1.71,1.69,2.01,3.78,,
August,3.00,2.28,2.25,4.18,3.65,4.79,2.59,2.45,4.74,1.90,,
September,1.79,4.20,2.14,4.64,3.47,1.44,0.92,2.25,3.26,0.89,,
October,2.61,2.57,3.16,8.98,2.32,1.73,4.45,6.73,2.20,7.32,,
November,5.18,0.60,6.01,2.19,2.17,5.97,3.32,4.18,1.26,1.27,,
December,6.99,7.11,4.04,5.95,4.70,1.81,3.73,5.46,5.33,6.72,,
Total,43.88,35.77,33.97,51.02,44.44,32.32,37.83,38.99,34.31,36.90,,
Calc annual,43.88,35.77,33.97,51.02,44.44,32.32,37.83,38.99,34.31,36.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
