"CRAMALT LODGE MEGGET WATER",,,,,,,,,,,,
Grid ref,NT196230,Long,-3.274110,Lat,55.494151,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,7.16,2.42,5.60,5.58,,
February,,,,,,,2.92,4.20,4.08,2.38,,
March,,,,,,,3.67,4.32,7.72,6.50,,
April,,,,,,,2.15,2.31,2.05,3.26,,
May,,,,,,,6.57,5.56,2.46,2.70,,
June,,,,,,,2.12,5.44,2.85,2.37,,
July,,,,,,,2.85,3.25,2.37,4.86,,
August,,,,,,5.84,8.60,5.65,4.96,3.02,,
September,,,,,,2.91,1.25,1.07,5.75,3.46,,
October,,,,,,3.94,8.79,-999.00,1.77,10.41,,
November,,,,,,5.89,4.92,4.40,3.95,2.09,,
December,,,,,,3.30,4.01,6.41,2.32,5.76,,
Total,,,,,,,55.01,53.72,45.88,52.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.88,55.01,45.03,45.88,52.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,8.69,-0.00,0.00,,
