"MANDALAY, PRIDDY NR WELLS",,,,,,,,,,,,
Grid ref,ST526512,Long,-2.680647,Lat,51.257981,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.82,,,,
February,,,,,,,,2.73,,,,
March,,,,,,,2.44,1.48,,,,
April,,,,,,,1.34,6.01,,,,
May,,,,,,,5.12,2.99,,,,
June,,,,,,,2.68,4.10,,,,
July,,,,,,,1.81,4.51,,,,
August,,,,,,,3.83,5.34,,,,
September,,,,,,,1.69,0.90,,,,
October,,,,,,,7.91,6.49,,,,
November,,,,,,,4.57,4.25,,,,
December,,,,,,,3.19,5.95,,,,
Total,,,,,,,,46.57,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,34.58,46.57,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
