"STONYHURST COLLEGE OBSERVATORY",,,,,,,,,,,,
Grid ref,SD691388,Long,-2.471122,Lat,53.844516,,,,,,,
Station no,2978,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.07,2.90,4.85,5.28,3.95,2.94,6.07,3.00,5.55,2.69,,
February,3.42,2.13,1.41,4.61,3.98,2.68,3.56,3.51,4.42,4.22,,
March,0.66,3.49,3.73,4.99,2.74,3.48,4.24,5.64,3.43,2.67,,
April,3.55,2.54,2.48,2.91,3.87,3.69,2.05,1.80,2.57,4.39,,
May,1.77,0.82,3.09,3.31,3.00,0.65,4.81,3.63,3.83,2.46,,
June,2.78,2.09,1.25,2.36,1.40,3.09,1.93,8.71,2.69,2.80,,
July,3.15,1.86,3.60,4.68,2.14,3.56,2.76,3.30,5.61,7.57,,
August,6.13,3.33,3.84,6.41,5.25,4.10,4.67,6.22,4.31,3.21,,
September,3.02,1.31,1.25,6.02,1.28,4.38,1.50,1.15,5.25,3.56,,
October,7.75,4.60,5.13,10.83,3.73,4.72,6.97,3.87,2.33,5.50,,
November,4.34,8.18,2.06,4.59,5.13,4.23,4.93,3.35,5.03,2.71,,
December,5.57,5.72,4.06,2.97,3.17,1.32,6.18,5.79,3.65,7.29,,
Total,48.21,38.97,36.75,58.96,39.64,38.84,49.67,49.97,48.67,49.07,,
Calc annual,48.21,38.97,36.75,58.96,39.64,38.84,49.67,49.97,48.67,49.07,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
