"FRIMLEY HALE COTTAGE",,,,,,,,,,,,
Grid ref,SU876580,Long,-0.744483,Lat,51.314378,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.75,1.79,0.96,,
February,,,,,,,,1.50,1.31,0.34,,
March,,,,,,,,1.03,3.15,3.87,,
April,,,,,,,,3.91,3.39,1.91,,
May,,,,,,,,1.74,1.89,1.45,,
June,,,,,,,,2.46,1.07,4.81,,
July,,,,,,,,1.46,1.71,2.65,,
August,,,,,,,,2.00,3.31,1.89,,
September,,,,,,,,0.70,1.63,3.23,,
October,,,,,,,,5.41,2.96,4.90,,
November,,,,,,,,1.92,1.01,0.65,,
December,,,,,,,,3.69,2.53,3.30,,
Total,,,,,,,,26.57,25.75,29.96,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.57,25.75,29.96,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,,
